,O,D,flow,O_id,D_id
291,3.6085E+11,3.6085E+11,1824,6405,6405
292,3.6085E+11,3.6085E+11,1821,6458,6458
293,3.6061E+11,3.6061E+11,1814,3701,3698
294,3.60471E+11,3.60471E+11,1811,2711,2711
295,3.60811E+11,3.60811E+11,1809,5737,5737
296,3.60471E+11,3.60471E+11,1807,2691,2691
297,3.6085E+11,3.6085E+11,1801,6341,6341
298,3.6085E+11,3.6085E+11,1800,6432,6432
299,3.6081E+11,3.6081E+11,1795,5044,5044
300,3.6061E+11,3.6061E+11,1793,3675,3755
301,3.6081E+11,3.6081E+11,1790,4858,4858
302,3.6081E+11,3.6081E+11,1782,5057,5057
303,3.6061E+11,3.6061E+11,1780,3720,3621
304,3.60811E+11,3.60811E+11,1778,5908,5908
305,3.6085E+11,3.6085E+11,1775,6306,6306
306,3.60471E+11,3.60471E+11,1771,3141,3141
307,3.6085E+11,3.6085E+11,1763,6392,6392
308,3.6081E+11,3.6081E+11,1754,4502,4502
309,3.60471E+11,3.60471E+11,1751,2768,2768
310,3.6085E+11,3.6085E+11,1739,6520,6520
311,3.60811E+11,3.60811E+11,1737,5993,5993
312,3.60811E+11,3.60811E+11,1734,6181,6181
313,3.6085E+11,3.6085E+11,1727,6267,6267
314,3.60811E+11,3.60811E+11,1727,5751,5751
315,3.6085E+11,3.6085E+11,1719,6419,6419
316,3.60471E+11,3.60471E+11,1719,2657,2657
317,3.6085E+11,3.6085E+11,1715,6446,6446
318,3.6005E+11,3.6005E+11,1713,1045,1045
319,3.6061E+11,3.6061E+11,1713,3320,3319
320,3.6047E+11,3.6047E+11,1713,1192,1192
321,3.6085E+11,3.6085E+11,1710,6504,6504
322,3.6081E+11,3.6081E+11,1705,5208,5208
323,3.6061E+11,3.6061E+11,1704,3727,3720
324,3.60811E+11,3.6081E+11,1696,5645,5035
325,3.60811E+11,3.60811E+11,1693,6171,6171
326,3.6005E+11,3.6005E+11,1689,119,119
327,3.6061E+11,3.6061E+11,1674,3734,3620
328,3.6005E+11,3.6005E+11,1671,12,12
329,3.6061E+11,3.6061E+11,1670,3700,3700
330,3.60471E+11,3.60471E+11,1669,2702,2702
331,3.6081E+11,3.6081E+11,1668,5018,5018
332,3.6085E+11,3.6085E+11,1663,6307,6307
333,3.6061E+11,3.6061E+11,1663,4355,4478
334,3.6085E+11,3.6085E+11,1662,6455,6455
335,3.6061E+11,3.6061E+11,1661,3620,3620
336,3.6085E+11,3.6085E+11,1661,6442,6442
337,3.6061E+11,3.6061E+11,1661,3429,3429
338,3.6061E+11,3.6061E+11,1660,3803,3803
339,3.6061E+11,3.6061E+11,1652,3780,3756
340,3.6085E+11,3.6085E+11,1644,6543,6522
341,3.60811E+11,3.60811E+11,1642,5531,5531
342,3.6085E+11,3.6085E+11,1640,6380,6380
343,3.60812E+11,3.60812E+11,1639,6207,6207
344,3.6085E+11,3.6085E+11,1634,6310,6310
345,3.6085E+11,3.6085E+11,1634,6489,6489
346,3.60471E+11,3.60471E+11,1633,3127,3127
347,3.6047E+11,3.6047E+11,1629,2114,2114
348,3.6005E+11,3.6005E+11,1627,217,217
349,3.6061E+11,3.6061E+11,1627,4481,4479
350,3.6061E+11,3.6061E+11,1626,3621,3734
351,3.6061E+11,3.6061E+11,1620,3700,3696
352,3.6081E+11,3.6081E+11,1620,4487,4487
353,3.6047E+11,3.6047E+11,1601,1501,1501
354,3.6061E+11,3.6061E+11,1592,3496,3496
355,3.60811E+11,3.60811E+11,1592,5779,5779
356,3.6085E+11,3.6085E+11,1590,6522,6543
357,3.6061E+11,3.6061E+11,1590,3756,3780
358,3.6061E+11,3.6061E+11,1589,3522,3522
359,3.6085E+11,3.6085E+11,1588,6527,6527
360,3.6081E+11,3.6081E+11,1587,5294,5294
361,3.60811E+11,3.60811E+11,1587,5862,5862
362,3.6005E+11,3.6005E+11,1582,329,329
363,3.6061E+11,3.6061E+11,1580,3985,3985
364,3.6081E+11,3.6081E+11,1575,4953,4953
365,3.60811E+11,3.60811E+11,1569,6005,6005
366,3.60811E+11,3.60811E+11,1560,5782,5810
367,3.60471E+11,3.60471E+11,1559,3073,3073
368,3.6081E+11,3.6081E+11,1557,5209,5209
369,3.6061E+11,3.6061E+11,1554,3780,3755
370,3.6005E+11,3.6005E+11,1551,89,89
371,3.60811E+11,3.60811E+11,1546,6128,6128
372,3.60811E+11,3.60811E+11,1535,5810,5782
373,3.6061E+11,3.6061E+11,1532,3397,3397
374,3.60471E+11,3.60471E+11,1527,2693,2693
375,3.6047E+11,3.6047E+11,1523,2270,2270
376,3.6061E+11,3.6061E+11,1523,3620,3734
377,3.60811E+11,3.60811E+11,1520,5843,5843
378,3.6085E+11,3.6085E+11,1517,6542,6542
379,3.6085E+11,3.6085E+11,1516,6327,6327
380,3.60811E+11,3.60811E+11,1506,6129,6129
381,3.6061E+11,3.6061E+11,1505,3672,3672
382,3.6085E+11,3.6085E+11,1505,6559,6559
383,3.60811E+11,3.60811E+11,1501,5960,5960
384,3.6061E+11,3.6061E+11,1498,3744,3744
385,3.6085E+11,3.6085E+11,1495,6447,6447
386,3.6047E+11,3.6047E+11,1493,2055,2055
387,3.6085E+11,3.6085E+11,1491,6342,6342
388,3.6047E+11,3.6047E+11,1490,1525,1525
389,3.6061E+11,3.6061E+11,1489,3699,3693
390,3.6061E+11,3.6061E+11,1488,3387,3387
391,3.6061E+11,3.6061E+11,1488,3755,3780
392,3.6061E+11,3.6061E+11,1486,3662,3672
393,3.6061E+11,3.6061E+11,1485,3672,3662
394,3.6085E+11,3.6085E+11,1484,6296,6296
395,3.6081E+11,3.6081E+11,1482,4520,4520
396,3.6085E+11,3.6085E+11,1480,6367,6367
397,3.6061E+11,3.6061E+11,1480,3701,3814
398,3.6005E+11,3.6005E+11,1474,39,39
